,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,countOfCity
697,1424,山东信息职业技术学院,4137013012,山东省,潍坊市,专科,,11
698,1425,青岛港湾职业技术学院,4137013014,山东省,青岛市,专科,,11
699,1426,山东胜利职业学院,4137013316,山东省,东营市,专科,,3
700,1427,山东经贸职业学院,4137013317,山东省,潍坊市,专科,,11
701,1428,山东工业职业学院,4137013318,山东省,淄博市,专科,,6
702,1429,山东化工职业学院,4137013319,山东省,淄博市,专科,,6
703,1430,青岛求实职业技术学院,4137013321,山东省教育厅,青岛市,专科,民办,11
704,1431,济南职业学院,4137013323,山东省,济南市,专科,,17
705,1432,烟台工程职业技术学院,4137013355,山东省,烟台市,专科,,8
706,1433,潍坊工商职业学院,4137013388,山东省教育厅,潍坊市,专科,民办,11
707,1434,德州职业技术学院,4137013389,山东省,德州市,专科,,2
708,1435,枣庄科技职业学院,4137013390,山东省,枣庄市,专科,,2
709,1436,淄博师范高等专科学校,4137013777,山东省,淄博市,专科,,6
710,1437,山东中医药高等专科学校,4137013778,山东省,烟台市,专科,,8
711,1438,济南工程职业技术学院,4137013855,山东省,济南市,专科,,17
712,1439,山东电子职业技术学院,4137013856,山东省,济南市,专科,,17
713,1440,山东旅游职业学院,4137013858,山东省,济南市,专科,,17
714,1441,山东铝业职业学院,4137013859,山东省,淄博市,专科,,6
715,1442,山东杏林科技职业学院,4137013860,山东省教育厅,济南市,专科,民办,17
716,1443,泰山职业技术学院,4137013861,山东省,泰安市,专科,,4
717,1444,山东药品食品职业学院,4137013966,山东省,威海市,专科,,3
718,1445,山东商务职业学院,4137014078,山东省,烟台市,专科,,8
719,1446,山东轻工职业学院,4137014079,山东省,淄博市,专科,,6
720,1447,山东城市建设职业学院,4137014080,山东省,济南市,专科,,17
721,1448,烟台汽车工程职业学院,4137014081,山东省,烟台市,专科,,8
722,1449,山东司法警官职业学院,4137014082,山东省,济南市,专科,,17
723,1450,菏泽家政职业学院,4137014118,山东省,菏泽市,专科,,3
724,1451,山东传媒职业学院,4137014193,山东省,济南市,专科,,17
725,1452,临沂职业学院,4137014195,山东省,临沂市,专科,,3
726,1453,枣庄职业学院,4137014196,山东省,枣庄市,专科,,2
727,1454,山东理工职业学院,4137014242,山东省,济宁市,专科,,3
728,1455,山东文化产业职业学院,4137014261,山东省教育厅,青岛市,专科,民办,11
729,1456,青岛远洋船员职业学院,4137014320,山东省,青岛市,专科,,11
730,1457,济南幼儿师范高等专科学校,4137014332,山东省,济南市,专科,,17
731,1458,济南护理职业学院,4137014343,山东省,济南市,专科,,17
732,1459,泰山护理职业学院,4137014345,山东省,泰安市,专科,,4
733,1460,山东海事职业学院,4137014346,山东省教育厅,潍坊市,专科,民办,11
734,1461,潍坊护理职业学院,4137014347,山东省,潍坊市,专科,,11
735,1462,潍坊工程职业学院,4137014379,山东省,潍坊市,专科,,11
736,1463,菏泽职业学院,4137014477,山东省,菏泽市,专科,,3
737,1464,山东艺术设计职业学院,4137014506,山东省教育厅,济南市,专科,民办,17
738,1465,威海海洋职业学院,4137014507,山东省,威海市,专科,,3
739,1466,山东特殊教育职业学院,4137014545,山东省,济南市,专科,,17
740,1467,烟台黄金职业学院,4137014570,山东省教育厅,烟台市,专科,民办,8
741,1468,日照航海工程职业学院,4137014605,山东省教育厅,日照市,专科,民办,3
742,1469,青岛工程职业学院,4137014666,山东省,青岛市,专科,,11
743,1470,青岛幼儿师范高等专科学校,4137014688,山东省,青岛市,专科,,11
744,1471,烟台幼儿师范高等专科学校,4137014689,山东省,烟台市,专科,,8
745,1472,烟台文化旅游职业学院,4137014707,山东省,烟台市,专科,,8
746,1473,临沂科技职业学院,4137014708,山东省,临沂市,专科,,3
747,1474,青岛航空科技职业学院,4137014709,山东省教育厅,青岛市,专科,民办,11
